Global Land and Ocean February Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1998,0.81
1999,0.64
2000,0.55
2001,0.43
2002,0.68
2003,0.62
2004,0.71
2005,0.63
2006,0.77
2007,0.71
2008,0.33
2009,0.55
2010,0.84
2011,0.51
2012,0.52
2013,0.60
2014,0.59
2015,0.87
2016,1.34
2017,1.10
2018,0.89
2019,0.91
2020,1.21
2021,0.66
2022,0.90
2023,1.01
